,long,lat,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date
1273,-5.8260596854130995,-0.7864829514379608,tabou,ci,77.67,84.0,92.0,13.35,1600099338.0
1276,-55.49887858640318,38.75845038318835,saint-pierre,pm,68.0,60.0,3.0,27.51,1600099162.0
1277,137.50497175140384,-35.766356765003934,victor harbor,au,44.01,89.0,0.0,2.19,1600099338.0
1279,67.16667738757161,61.64132345177174,oktyabrskoye,ru,73.4,60.0,0.0,2.24,1600099338.0
1281,-53.4019407916083,4.81049474379671,iracoubo,gf,86.36,62.0,1.0,9.17,1600099339.0
1282,-54.16606174831928,49.72886154143188,gander,ca,62.6,100.0,90.0,12.75,1600099339.0
1288,-91.95675391710868,-17.44198023564408,huarmey,pe,66.51,68.0,66.0,9.13,1600099339.0
1289,-120.2158387006458,32.30649370328193,port hueneme,us,66.0,100.0,90.0,3.36,1600099340.0
1293,140.91498326963296,29.71804710649255,shimoda,jp,68.0,95.0,34.0,1.01,1600099278.0
1294,-81.51921063879652,-49.76992425272958,coihaique,cl,50.0,57.0,90.0,12.75,1600099265.0
1296,82.94624624428673,54.45285811208987,berdsk,ru,53.6,76.0,100.0,4.47,1600099340.0
