,long,lat,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Date
109,-90.77051756637668,-6.058146699481696,san cristobal,ec,89.6,49.0,40.0,4.7,1600099157.0
110,64.36604710823408,-6.79616359827601,victoria,sc,84.0,82.0,94.0,11.99,1600099104.0
117,-58.37858927630778,-2.3560617972826634,urucara,br,101.08,31.0,80.0,5.3,1600099236.0
118,-177.83278438830033,84.28829734823893,mys shmidta,ru,51.8,76.0,87.0,4.47,1600051984.0
119,-103.24983567083467,-36.803411603067765,lebu,cl,52.79,65.0,0.0,24.27,1600099237.0
120,27.40113436647843,-33.320480157956396,bisho,za,59.0,67.0,0.0,19.46,1600099237.0
121,93.32546419525107,-22.944732308633803,carnarvon,au,69.8,100.0,0.0,12.75,1600099237.0
123,144.0107958171725,-5.741732436568711,mount hagen,pg,59.25,92.0,100.0,2.06,1600099238.0
125,55.121064603326204,46.48981326288825,beyneu,kz,73.26,31.0,2.0,5.17,1600099238.0
126,14.51736313955206,66.73281789676881,storforshei,no,50.0,81.0,75.0,10.29,1600099238.0
127,-45.20071051383795,19.249995281385637,bathsheba,bb,87.8,66.0,40.0,19.46,1600099238.0
128,79.18103816936491,52.334592060416156,klyuchi,ru,61.14,37.0,81.0,5.91,1600099239.0
130,155.99499339223098,-15.432503633786538,samarai,pg,78.3,86.0,70.0,14.54,1600099239.0
131,-149.83682453529065,33.33549629996219,kahului,us,72.0,64.0,1.0,6.93,1600099110.0
132,-164.86049360768303,-68.5667436236794,avarua,ck,69.8,68.0,29.0,4.7,1600099187.0
133,144.1918302285281,46.474679605741244,novikovo,ru,62.76,54.0,15.0,8.21,1600099240.0
135,28.017691120880613,12.586258378779377,abu zabad,sd,83.48,62.0,44.0,4.83,1600099241.0
136,121.53285094514615,-81.29624199738964,new norfolk,au,53.01,64.0,60.0,5.01,1600099241.0
138,47.53819724787715,-44.95884244426769,tsihombe,mg,51.8,76.0,87.0,4.47,1600051984.0
141,140.79865375604413,13.786356231689652,airai,pw,54.28,88.0,56.0,3.11,1600099242.0
142,-77.45784217627852,16.29677761780249,bull savanna,jm,84.2,67.0,82.0,8.93,1600099242.0
145,101.63061005848203,36.272954304025234,xining,cn,49.6,63.0,6.0,0.74,1600099242.0
146,-58.654922212593576,-9.489308182307894,aripuana,br,104.22,15.0,2.0,5.97,1600099243.0
148,132.9252179898226,-18.431928333250767,katherine,au,78.8,36.0,1.0,4.7,1600099243.0
149,-118.74923168443169,82.31010081632945,norman wells,ca,30.2,86.0,75.0,3.36,1600099060.0
151,-27.62431020994734,-42.98664368858409,arraial do cabo,br,89.6,54.0,0.0,13.87,1600099207.0
153,72.96026838876921,16.734766785686446,ratnagiri,in,79.16,84.0,99.0,3.8,1600099243.0
154,-12.40251367991047,-13.69417506890521,georgetown,sh,80.6,83.0,20.0,2.13,1600099224.0
157,134.09066676751945,-2.1060001303086864,manokwari,id,79.05,78.0,98.0,3.56,1600099244.0
160,103.06841138533719,4.981351078020296,marang,my,77.0,94.0,40.0,3.36,1600099012.0
162,102.61366956248884,29.871104590769008,yaan,cn,78.82,86.0,98.0,5.55,1600099244.0
163,-15.231428924270432,41.51250618031864,peniche,pt,77.0,75.0,100.0,20.0,1600099244.0
166,-103.78771579904047,36.94738557594118,raton,us,53.6,58.0,1.0,5.82,1600099245.0
168,51.83029598394984,55.35463861447383,zainsk,ru,48.2,93.0,75.0,8.95,1600099245.0
170,-34.889297709264156,-22.679292786993685,vila velha,br,80.6,61.0,7.0,17.22,1600099245.0
171,160.29504466147756,88.08708649394495,cherskiy,ru,42.49,80.0,100.0,5.95,1600099182.0
172,-90.68953163440366,51.11036898869304,sioux lookout,ca,44.6,100.0,75.0,4.7,1600099242.0
175,-71.34801910857807,38.53830635005531,mastic beach,us,73.4,53.0,1.0,12.75,1600099186.0
177,96.0343043698989,33.73017192273582,along,in,74.14,89.0,98.0,0.96,1600099246.0
178,144.82330553598513,68.81003630291977,belaya gora,ru,43.3,79.0,100.0,9.01,1600099246.0
179,-35.8821005313425,50.324419528783665,nanortalik,gl,43.16,81.0,100.0,16.82,1600099246.0
182,165.10018653986452,-35.542126020946625,ahipara,nz,56.28,83.0,51.0,13.53,1600099246.0
183,-135.1704170937778,28.82922981877614,pacific grove,us,57.0,95.0,69.0,4.54,1600099080.0
189,-82.9421682081666,-25.001654371422262,taltal,cl,61.84,60.0,32.0,4.14,1600099247.0
190,-121.11595454974201,21.795043394587324,guerrero negro,mx,81.52,43.0,0.0,2.66,1600099169.0
197,-3.407560695032288,50.967743120059254,tiverton,gb,78.8,39.0,2.0,10.29,1600099247.0
199,76.0809480847442,-24.04565021952743,grand river south east,mu,51.8,76.0,87.0,4.47,1600051984.0
205,176.09738459387637,-77.37716191161813,kaitangata,nz,46.99,62.0,61.0,8.99,1600099247.0
206,175.9956816529966,-28.401291582173435,kaeo,nz,50.0,3.0,15.0,5.01,1600099247.0
211,160.52588315003732,-25.34409363137246,voh,nc,65.86,88.0,3.0,5.28,1600099248.0
214,131.35159622082926,-32.34039847248374,flinders,au,61.0,87.0,96.0,1.01,1600099248.0
215,-62.77773174320926,82.44579620881589,narsaq,gl,48.2,19.0,75.0,17.22,1600099168.0
216,96.29874496538935,44.56795359110717,hami,cn,65.93,24.0,0.0,4.81,1600099248.0
217,150.89195622673395,-29.289870083495487,inverell,au,52.0,87.0,10.0,1.01,1600099249.0
218,-109.18604331679187,69.01677301902572,yellowknife,ca,41.0,73.0,20.0,8.05,1600099249.0
220,-89.62274194048636,13.12984580107414,la libertad,sv,73.4,78.0,40.0,12.75,1600099249.0
221,-155.99289892026417,69.23908424576967,barrow,us,37.4,93.0,90.0,4.7,1600099179.0
227,157.78716830309287,49.02330900273401,severo-kurilsk,ru,49.95,85.0,18.0,12.3,1600099229.0
228,-62.10015191217667,4.824647141152369,boa vista,br,91.4,52.0,40.0,6.93,1600099250.0
232,165.89655210560778,-25.01404892212024,noumea,nc,64.4,82.0,0.0,9.53,1600099250.0
236,10.776907563919622,39.588208030578045,tortoli,it,84.0,78.0,5.0,20.8,1600099250.0
237,15.437541581069127,28.073508555591104,hun,ly,92.84,24.0,0.0,12.24,1600099251.0
238,-55.4255662905604,-50.0977309854831,rawson,ar,65.91,27.0,15.0,18.25,1600099251.0
239,166.69369874682116,22.18381992202717,butaritari,ki,82.81,73.0,32.0,17.34,1600099251.0
240,54.92716489275986,62.597845190277695,voyvozh,ru,46.0,96.0,100.0,7.96,1600099251.0
241,64.02752545224382,54.51191687648972,tselinnoye,ru,52.18,66.0,95.0,5.17,1600099251.0
242,147.86035853942917,5.559808238744466,lorengau,pg,82.49,76.0,42.0,11.39,1600099252.0
243,-109.05423070586734,24.756016213995977,topolobampo,mx,87.01,65.0,40.0,9.17,1600099252.0
244,40.91970165012327,17.379822845766313,jizan,sa,95.0,67.0,40.0,9.17,1600099252.0
247,132.31984699636865,80.65750362627026,tiksi,ru,40.44,86.0,0.0,8.01,1600099161.0
248,-43.319020439216445,-39.42065792028908,rio grande,br,59.0,65.0,23.0,10.0,1600099083.0
252,64.30117992227358,44.43863811506969,dzhusaly,kz,51.8,76.0,87.0,4.47,1600051984.0
254,-62.9609740881628,-28.621043925918094,santiago del estero,ar,69.42,22.0,46.0,6.17,1600099253.0
255,147.2380981195842,-8.880528198469051,kokoda,pg,72.07,70.0,79.0,1.3,1600099253.0
256,29.519553150344194,31.084147262887825,alexandria,eg,84.2,54.0,20.0,11.41,1600099253.0
257,127.15617887739745,41.751236885861914,linjiang,cn,51.19,85.0,0.0,0.76,1600099253.0
259,-11.01369394246234,29.89996885117162,tiznit,ma,86.7,33.0,78.0,7.36,1600099253.0
260,-52.682657138962696,54.261406395042144,saint anthony,ca,64.99,67.0,1.0,8.05,1600099254.0
261,-71.54584343862786,18.75145988161853,las matas de farfan,do,85.75,54.0,100.0,5.93,1600099254.0
262,110.06418333312274,15.228338365861035,quang ngai,vn,79.09,84.0,73.0,4.05,1600099254.0
263,41.17716293446762,-34.0761001325687,beloha,mg,80.04,42.0,82.0,2.75,1600099255.0
267,-66.54965208014828,51.27358953154902,sept-iles,ca,57.2,47.0,75.0,23.04,1600098962.0
268,-89.52829719286095,22.227781574691335,progreso,mx,91.0,70.0,40.0,8.05,1600099255.0
271,51.89837413104982,26.507328959353885,khor,qa,51.69,87.0,88.0,3.38,1600099255.0
272,140.41195189273367,-34.90821406477416,murray bridge,au,44.01,95.0,0.0,1.43,1600099256.0
273,141.22078325440486,-64.74287471178866,hobart,au,53.6,54.0,40.0,19.46,1600099031.0
275,41.89354629629611,75.69387063865568,ostrovnoy,ru,48.27,93.0,100.0,9.44,1600099256.0
277,-56.45363488628011,37.142796404833405,louisbourg,ca,51.8,76.0,87.0,4.47,1600051984.0
278,-89.09911129379671,19.099327971980358,chunhuhub,mx,89.55,56.0,68.0,4.36,1600099257.0
279,-108.10856872257192,47.73796104511658,lewistown,us,68.0,56.0,1.0,10.29,1600099088.0
281,107.50896189274636,-7.387324486331877,banjar,id,78.8,100.0,20.0,6.93,1600099257.0
